2025/11/11_23:06:59
2025/11/11_23:07:12,D
2025/11/11_23:07:30,Bw1
2025/11/11_23:07:41,Bw2
2025/11/11_23:07:56,H
2025/11/11_23:08:06,Bw1
2025/11/11_23:08:18,A
2025/11/11_23:08:26,Bw3
2025/11/11_23:08:46,DelChar
2025/11/11_23:08:56,DelChar
2025/11/11_23:09:17,N
2025/11/11_23:09:33,Bw3
2025/11/11_23:09:53,Enter
2025/11/11_23:10:09,DelChar
2025/11/11_23:10:26,Bw2
2025/11/11_23:10:39,B
2025/11/11_23:10:51,R
2025/11/11_23:11:11,O
2025/11/11_23:11:31,T
2025/11/11_23:11:42,H
2025/11/11_23:11:53,E
2025/11/11_23:12:11,R
2025/11/11_23:12:27,Bw4plus
2025/11/11_23:12:38,DelChar
2025/11/11_23:12:52,B
2025/11/11_23:13:07,R
2025/11/11_23:13:19,Bw3
2025/11/11_23:13:35,DelWord
2025/11/11_23:13:43,G
2025/11/11_23:14:04,DelChar
2025/11/11_23:14:16,B
2025/11/11_23:14:28,R
2025/11/11_23:14:43,T
2025/11/11_23:15:01,DelChar
2025/11/11_23:15:16,O
2025/11/11_23:15:35,Bw3plus
2025/11/11_23:15:50,DelChar
2025/11/11_23:16:11,DelChar
2025/11/11_23:16:31,DelChar
2025/11/11_23:16:47,Bw3
