2025/11/25_20:30:53
2025/11/25_20:31:03,I
2025/11/25_20:31:24,Bw1plus
2025/11/25_20:31:44,DelChar
2025/11/25_20:32:04,Bw3
2025/11/25_20:32:17,H
2025/11/25_20:32:26,Bw6plus
2025/11/25_20:32:47,B
2025/11/25_20:33:07,Bw5plus
2025/11/25_20:33:20,A
2025/11/25_20:33:29,Space
2025/11/25_20:33:45,P
2025/11/25_20:34:05,L
2025/11/25_20:34:20,E
2025/11/25_20:34:34,A
2025/11/25_20:34:47,S
2025/11/25_20:35:04,U
2025/11/25_20:35:18,R
2025/11/25_20:35:29,E
2025/11/25_20:35:43,Space
2025/11/25_20:36:00,M
2025/11/25_20:36:09,O
2025/11/25_20:36:17,DelChar
2025/11/25_20:36:31,E
2025/11/25_20:36:44,Enter
2025/11/25_20:37:00,E
2025/11/25_20:37:21,Bw2plus
2025/11/25_20:37:33,Bw2plus
