2025/11/01_01:38:46
2025/11/01_01:38:48,Bw2
2025/11/01_01:38:55,A
2025/11/01_01:39:03,B
2025/11/01_01:39:13,DelChar
2025/11/01_01:39:25,Space
2025/11/01_01:39:34,B
2025/11/01_01:39:40,O
2025/11/01_01:39:47,Bw6
2025/11/01_01:39:58,Bw3
2025/11/01_01:40:07,U
2025/11/01_01:40:18,DelWord
2025/11/01_01:40:29,Q
2025/11/01_01:40:36,DelWord
2025/11/01_01:40:46,DelWord
2025/11/01_01:40:53,O
2025/11/01_01:41:00,Bw3
2025/11/01_01:41:11,S
2025/11/01_01:41:20,E
2025/11/01_01:41:29,DelChar
2025/11/01_01:41:39,O
2025/11/01_01:41:48,U
2025/11/01_01:41:54,Bw3
