2025/11/06_17:32:34
2025/11/06_17:32:43,Bw1plus
2025/11/06_17:32:55,N
2025/11/06_17:33:07,W
2025/11/06_17:33:18,DelChar
2025/11/06_17:33:35,Bw3
2025/11/06_17:33:46,Bw3
2025/11/06_17:34:02,G
2025/11/06_17:34:19,Bw3
2025/11/06_17:34:29,Bw3
2025/11/06_17:34:44,T
2025/11/06_17:34:57,H
2025/11/06_17:35:03,Bw2
2025/11/06_17:35:12,R
2025/11/06_17:35:23,E
2025/11/06_17:35:38,N
2025/11/06_17:35:55,DelChar
2025/11/06_17:36:09,S
2025/11/06_17:36:23,Bw3
2025/11/06_17:36:37,C
2025/11/06_17:36:57,W
2025/11/06_17:37:12,DelWord
2025/11/06_17:37:24,A
2025/11/06_17:37:37,F
2025/11/06_17:37:50,Bw1
2025/11/06_17:38:07,D
2025/11/06_17:38:19,R
2025/11/06_17:38:36,Bw1
2025/11/06_17:38:49,DelChar
2025/11/06_17:39:01,I
2025/11/06_17:39:12,N
2025/11/06_17:39:24,G
2025/11/06_17:39:35,Space
2025/11/06_17:39:51,S
2025/11/06_17:40:01,Bw2
2025/11/06_17:40:12,M
2025/11/06_17:40:28,Bw3
2025/11/06_17:40:48,Bw4plus
2025/11/06_17:41:09,Bw6
2025/11/06_17:41:29,DelWord
2025/11/06_17:41:45,Bw6plus
2025/11/06_17:42:02,DelWord
2025/11/06_17:42:23,DelWord
