2025/11/25_21:03:29
2025/11/25_21:03:42,I
2025/11/25_21:03:57,T
2025/11/25_21:04:15,Space
2025/11/25_21:04:27,H
2025/11/25_21:04:50,Bw1plus
2025/11/25_21:05:13,Bw3
2025/11/25_21:05:37,G
2025/11/25_21:05:51,DelChar
2025/11/25_21:06:14,DelWord
2025/11/25_21:06:33,Bw4plus
2025/11/25_21:06:58,J
2025/11/25_21:07:18,DelChar
2025/11/25_21:07:42,M
2025/11/25_21:08:04,Bw4
2025/11/25_21:08:29,L
2025/11/25_21:08:47,DelWord
2025/11/25_21:09:03,Z
2025/11/25_21:09:18,DelWord
2025/11/25_21:09:42,DelWord
2025/11/25_21:10:06,DelWord
2025/11/25_21:10:27,M
2025/11/25_21:10:46,Bw1
