2025/11/19_21:29:23
2025/11/19_21:29:31,Bw2
2025/11/19_21:29:44,M
2025/11/19_21:29:56,DelChar
2025/11/19_21:30:13,Bw3
2025/11/19_21:30:26,E
2025/11/19_21:30:40,Bw5
2025/11/19_21:30:51,L
2025/11/19_21:31:10,U
2025/11/19_21:31:30,Bw5
2025/11/19_21:31:45,L
2025/11/19_21:31:55,DelChar
2025/11/19_21:32:09,Space
2025/11/19_21:32:20,DelChar
2025/11/19_21:32:41,DelChar
2025/11/19_21:33:01,L
2025/11/19_21:33:22,P
2025/11/19_21:33:38,DelChar
2025/11/19_21:33:48,U
2025/11/19_21:34:08,Bw1
